2106. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2112. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2118. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2124. Range value: 115, Days after 01.01.2015: 3480, Minutes: 0
2130. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2136. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2142. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2148. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2154. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2160. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.6
2166. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2172. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2178. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2184. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.6
2190. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2196. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.6
